Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
1,北京大学,全给党 (Check it out),10,689,+1(74),+1(2),+2(59),+1(21),+1(157),-1,+1(8),+2(180),+1(44),+1(61),+2(23)
2,电子科技大学,UESTC_不如去上海坐磁悬浮吧 (UESTC_Maglev),10,1075,+1(87),+1(6),+3(165),+1(38),+1(278),-1,+1(0),+1(233),+1(31),+1(107),+2(70)
3,福州大学,百变怪 (Ditto),10,1101,+1(147),+1(7),+1(102),+1(109),+2(189),-1,+1(4),+1(242),+1(71),+1(133),+2(57)
4,北京大学,咕咕咕 (Cuckoo),10,1213,+2(153),+1(9),+2(149),+2(106),+3(223),-1,+1(12),+1(51),+1(86),+1(168),+3(116)
5,中山大学,中山大学_死线之蓝 (SYSU_DeadBlue),10,1285,+1(157),+1(2),+1(246),+1(74),+2(293),,+1(8),+1(109),+2(121),+2(192),+1(23)
6,北京大学,谬误之扉 (Wrong Door),9,844,+1(108),+1(0),+2(191),+2(89),-3,,+1(7),+2(226),+1(67),+2(51),+1(25)
7,广东工业大学,穷游中国 (Travel_Poorly),8,873,+2(29),+1(2),+1(101),+3(142),,,+1(19),,+1(72),+3(215),+1(193)
8,西安交通大学,比特赛特 (bitset),8,1171,+2(140),+1(6),+3(269),+1(94),,,+1(10),,+2(104),+3(250),+2(158)
9,南京邮电大学,拯救世界 (NJUPT_Goforworld),7,651,+1(115),+1(1),,+2(55),,,+1(5),,+2(111),+2(230),+1(74)
10,同济大学,捷尔任斯基观摩团 (dzerzhinski observation group),7,732,+1(172),+1(8),+2(227),+1(26),,,+1(13),,+2(117),,+3(89)
11,北京交通大学,猜歌群 (GuessSongs),7,839,+1(169),+1(1),+1(203),+1(94),,,+1(6),,-5,+1(232),+2(114)
12,北京理工大学,巴哈姆特 (Bahamut),7,970,+1(205),+1(5),+1(281),+2(96),,,+1(18),,+1(191),,+1(154)
13,武汉大学,魔极客 (Mogic),7,1046,+1(226),+1(5),+3(216),+2(116),,,+1(14),,+3(197),-2,+2(152)
14,华南理工大学,红队列 (RedQueue),7,1075,+2(155),+1(1),+3(257),+3(288),,,+1(5),,+2(148),,+1(101)
15,南京航空航天大学,学习使我快乐 (Overwatch),6,667,+2(239),+1(0),-13,+2(104),,,+1(11),,+2(61),,+1(192)
16,天津大学,Tju_master_driver (Tju_master_driver),6,734,+1(185),+1(6),-3,+2(165),,,+1(20),,+1(250),,+2(68)
17,浙江工业大学,ZJUT1 (ZJUT1),6,783,+1(185),+1(3),-3,+1(71),,,+1(11),,+1(160),,+4(293)
18,中国人民大学,金仓_基本法 (Basic Law),6,835,,+1(17),-6,+2(145),,,+1(23),,+3(87),+5(299),+2(104)
19,北京航空航天大学,上头欢乐送 (TVCR),6,841,+1(215),+1(6),+1(199),+3(97),,,+1(11),,,,+2(253)
20,电子科技大学,UESTC_你的头发还好吗 (UESTC_p90RushB),6,847,+1(263),+1(1),+2(188),+1(121),,,+1(10),,-4,,+1(244)
21,南京大学,八阿哥缔造者 (BugCreators),6,895,+2(227),+1(4),+2(148),+3(167),,,+1(10),+1(259),-1,,
22,东华大学,东华大学 (DHU),6,925,+1(216),+1(2),+1(289),+2(234),,,+1(20),,,,+2(124)
23,华南农业大学,我的那一秒呢 (The Lost Second),6,928,+2(279),+1(1),+1(258),+4(99),,,+1(14),,+2(177),,-2
24,华东师范大学,量子鸭嘴笔 (Quantum Engineering Drawing),6,942,+1(245),+1(4),,+2(173),,,+1(9),,+7(255),,+2(96)
25,杭州电子科技大学,杭电加特林 (HDU-Gatling),6,960,,+1(18),+3(197),+3(120),,,+1(23),,,+4(298),+5(84)
26,中南大学,复仇之翼 (The Wing of Vengeance),6,994,+2(175),+1(2),,+8(134),,,+1(9),,+3(252),,+1(222)
27,大连理工大学,对不队 (right or not),5,313,+1(143),+1(2),-4,+1(95),,,+1(10),,,,+1(63)
28,东南大学,是什么呢 (NooWA),5,335,+1(139),+1(1),,+2(43),,,+1(7),,-1,,+2(105)
29,中国科学技术大学,萌萌哒雪 (Lovely Snow),5,345,+2(156),+1(2),-3,+1(58),,,+1(11),,,,+1(98)
30,浙江大学宁波理工学院,探险小分队 (Adventure Team),5,520,+1(141),+1(6),-5,+2(38),,,+1(3),,,,+2(292)
31,西南科技大学,新年快乐 (Happy New Year),5,541,+1(234),+1(0),,+4(157),,,+1(11),,,,+1(79)
31,北京邮电大学,痛击我的队友 (protect my enemy),5,541,,+1(3),-2,+1(174),,,+1(9),,+2(246),,+1(89)
33,电子科技大学,UESTC_续 (UESTC_Continue),5,602,,+1(5),,+1(83),,,+1(11),,-1,+1(230),+2(253)
34,西北工业大学,东云研究所 (NPU_Shinonome Lab),5,609,+1(66),+1(3),-1,+1(162),,,+1(7),,,,+5(291)
35,哈尔滨工程大学,我是为了你的熊 (for your bear),5,666,+1(191),+1(4),-2,+1(208),,,+1(9),,,,+1(254)
36,宁波大学,上课摸鱼 (fishing when study),5,688,,+1(7),,+1(104),,,+1(23),,+3(268),,+3(206)
37,中国地质大学（北京）,哇！金色普通！ (WA！Golden Normal！),5,692,+1(133),+1(4),,+2(267),,,+1(14),,+2(234),,-5
38,上海大学,时梭者 (Time Flyer),5,898,+7(289),+1(13),-6,+1(219),,,+1(5),,,,+2(232)
39,山东大学,吃蛋挞 (SDU_Chitanda),5,973,+1(254),+1(2),,+3(199),,,+1(8),,,,+10(290)
40,北京理工大学,从零开始的acm生活 (re:starting life in ACM world),4,377,+1(239),+1(1),,+3(87),,,+1(10),,,,
41,青岛大学,我们真的很不错 (We are really nice),4,395,,+1(10),-1,+1(112),,,+1(7),,,,+2(246)
42,四川大学,"打完这场比赛就回老家结婚 (after this game,go back home to get maried)",4,423,-2,+1(1),,+1(45),,,+1(15),,,,+8(222)
43,苏州大学,你说的对 (You Say Right),4,424,,+2(1),-18,+3(137),,,+1(8),,,,+2(198)
44,香港科技大学,可爱的鹿鹿 (Lovely Luna),4,518,,+1(8),+2(285),+1(187),,,+1(18),,-1,,
45,华中科技大学,华科附属幼儿园 (HUST Affiliated Kindergarten),4,539,,+1(4),-8,+3(205),,,+1(11),,,,+2(259)
46,西北工业大学,题难还是人简单 (NPU_Hard Problems or Naive Persons),4,540,+1(271),+1(8),-4,-3,,,+1(16),,,,+1(245)
47,哈尔滨理工大学,"队长跑路了，我们来旅游 (Captain ran away, we come to travel)",3,101,,+1(0),-3,+2(71),,,+1(10),,-5,,
48,东北大学,三只更咸的鱼 (Three saltier fish),3,127,,+1(3),,+2(94),,,+1(10),,,,-2
49,山东科技大学,圣剑号 (SKD26517 Excalibur),3,149,,+1(6),,+2(110),,,+1(13),,,,-1
50,南开大学,){ :|:& };: (:),3,151,-4,+1(3),,+2(108),,,+1(20),,,,
51,江南大学,代码强迫症 (codeforces),3,163,,+1(3),,+3(103),,,+1(17),,,,-4
52,吉林大学,如果奇迹有颜色 (Ac is green),3,172,,+1(2),,+3(118),,,+1(12),,,,-1
53,中北大学,绿肥红瘦 (Green-Fat-Red-Thin),3,174,-1,+1(4),,+2(131),,,+1(19),,,,
54,华东交通大学,旷课一星期 (Absenteeism a week),3,188,,+1(1),,+3(129),,,+1(18),,,,
55,北京信息科技大学,百战炼磨 (Be a veteran in battle),3,192,-1,+1(2),,+2(148),,,+1(22),,,,-3
56,河海大学,请看英文名 (Don\'t wary，lixiyi\'s wdf),3,243,,+1(2),,+2(201),,,+1(20),,,,-2
57,西安电子科技大学,喂自己袋烟 (Fog Fantasy),3,269,+1(252),+1(2),,-1,,,+1(15),,,,
58,东北大学,Wings (Wings),3,280,,+1(1),,+5(188),,,+1(11),,,,-1
59,上海大学,狂交原谅色 (forgive her),3,287,,+1(3),,+1(270),,,+1(14),,-3,,
60,武汉科技大学,你们都好熟练 (QWQ),3,306,-1,+1(1),,+3(253),,,+1(12),,,,
61,深圳大学,星之海 (SZU_ZXH),3,344,,+1(2),,+5(245),,,+1(17),,,,-1
62,福建师范大学,无可奉告 (Clearlove Plus),3,364,,+1(8),,+5(255),,,+1(21),,,,-1
63,浙江大学城市学院,Paprika (Paprika),3,396,-3,+1(5),,+6(279),,,+1(12),,,,-1
64,东北林业大学,我能再撩你一下吗 (wnzlnyxm),3,468,,+1(7),,+9(285),,,+1(16),,,,-6
65,大连海事大学,打铁去 (datiequ),2,16,,+1(5),,-1,,,+1(11),,,,
66,西安理工大学,上升 (Up),2,17,,+1(4),,-1,,,+1(13),,,,
66,陕西师范大学,不听不听，无甲沙鹰 (P90 Rush B),2,17,,+1(3),,-4,,,+1(14),,,,-1
68,河南工业大学,风继续吹 (Ease my mind),2,18,,+1(2),,-10,,,+1(16),,,,-1
69,成都信息工程大学,Chobi17 (Chobi17),2,21,,+1(4),,-4,,,+1(17),,,,
70,南京晓庄学院,香港记者 (HongKong reporter),2,23,,+1(4),,-5,,,+1(19),,,,-2
70,江苏科技大学（张家港）,皮皮 (pipis),2,23,,+1(4),,-2,,,+1(19),,,,
72,华中农业大学,燃烧你的梦 (rsndm),2,25,,+1(4),,-1,,,+1(21),,,,-2
72,江西财经大学,JXUFE_求你马老公抱 (QiuNiMaLaoGongBao),2,25,,+1(3),,-2,,,+1(22),,,,-3
74,东北师范大学,实力划水 (Power stroke),2,27,,+1(4),,-1,,,+1(23),,,,-3
75,石河子大学,附属幼儿园 (cute kindergarten),2,28,,+1(3),,-4,,,+1(25),,,,-1
75,石河子大学,吃鸡队 (ohayo team),2,28,,+1(3),,-6,,,+1(25),,,,
77,重庆邮电大学,春风十里不如你 (unity),2,29,,+1(5),,-1,,,+1(24),,,,-1
78,江西中医药大学,岐黄拓荒者 (Qi Huang Tuo Huang Zhe),2,30,,+1(3),,-5,,,+1(27),,,,
79,长春工业大学,"乌鸦坐飞机 (Winner Winner,Chicken Dinner)",2,33,,+1(9),,,,,+1(24),,,,
80,新疆大学,安全 (safe),2,35,-4,+2(1),,-1,,-1,+1(14),,,,
81,西北大学,第一秒 (FristSecond),2,39,,+1(2),,,,,+1(37),,,,
82,广州大学,记得买葡萄干 (PutaoGan!),2,41,,+1(1),,-3,,,+2(20),,,,
83,哈尔滨工程大学,大家好今天是星期日 (Sunday today),2,42,,+1(12),,-6,,,+1(30),,,-1,
84,江西财经大学,ACM 再爱我一次 (ACM love me once more),2,44,,+1(2),,-5,,,+2(22),,,,-1
85,湖南大学,熊宝宝 (BearBaby),2,45,,+1(12),,,,,+1(33),,,,-6
86,新疆大学,听说你们喜欢打分号 (;;;;;;;;;),2,46,,+1(3),,-4,,,+1(43),,,,
87,华北电力大学,湖人队 (LAKERS),2,55,,+1(20),,-5,,,+1(35),,,,-1
88,集美大学,寄叶部队 (YoRHa),2,56,,+1(2),,-2,,,+1(54),,,,
89,新疆大学,羍揲兊 (ZSW),2,99,,+1(21),,-6,,,+1(78),,,,
90,南昌理工学院,先锋 (pioneer),2,274,,+1(15),,-2,,,+2(239),,,,
