Rank,School,Team,Solved,Penalty,Dirt,A,B,C,D,E,F,G,H,I,J,K
1,Zhongshan (Sun Yat-sen) University,SYSU_CodeChant,6,672,0%,-6,+1(31),+1(287),+1(13),+1(139),,+1(113),,,+1(89),-1
2,Peking University,ORION_PIE,6,759,45%,,+1(29),+2(222),+1(17),+1(215),,+1(105),-4,-1,+1(71),-2
3,The Chinese University of Hong Kong,Play Energy,6,965,57%,,+1(30),+6(298),+1(11),,,+1(84),-6,,+1(164),+2(218)
4,University of Electronic Science and Technology of China,UESTC_Beijing_To_HongKong,4,523,0%,,+1(67),,+1(26),-2,,+1(158),,,+1(272),
5,Guangdong University of Technology,GDUT_Tepig gogogo,4,614,50%,,+1(34),,+1(27),-5,,+3(199),,,+1(274),
6,South China University of Technology,Go go = new Sky(ground);,3,150,0%,,+1(32),,+1(19),,,+1(99),,,,
7,Hong Kong University of Science and Technology,Rescue the Mushroom!,3,236,0%,,+1(35),,+1(27),-3,,+1(174),-1,,-4,
8,South China University of Technology,Soha,3,241,40%,,+1(44),,+1(27),,-1,+2(130),-8,,-2,
9,Xi'an Jiaotong University,rbqrbq,3,263,25%,,+1(47),,+1(32),-2,,+1(164),-6,,,
10,Guilin University of Electronic Technology,guet_hongkong_01,3,274,50%,,+1(40),,+1(18),-1,,+3(156),,,-1,
11,Southern University of Science and Technology,SUSTech_Zwolle,3,276,0%,,+1(62),,+1(71),-6,,+1(143),,,,
12,Renmin University of China,VS Code Delicious,3,283,25%,,+1(64),,+1(49),,,+1(150),-7,,,
13,Beijing University of Posts and Telecommunications,Yakimochi,3,299,0%,,+1(31),,+1(100),-1,,+1(168),-1,,,
14,Beijing University of Chemical Technology,Think of a team name 8,3,305,50%,,+1(34),,+2(30),-5,,+1(181),,,,
14,Hunan University,Third Blood,3,305,25%,,+1(39),,+1(36),,,+1(210),-2,,,
16,City University of Hong Kong,No AC No Life,3,306,57%,,+1(26),,+1(22),,,+3(178),-2,,-3,
17,Southern University of Science and Technology,SUSTech_Emmeloord,3,343,57%,,+1(46),,+2(61),-1,,+2(156),,,,
18,China University of Geosciences， Beijing,cugb_HongKong,3,359,25%,,+1(43),,+1(70),-1,,+1(226),,,-1,
19,Guangdong University of Technology,GDUT_light at dawn,3,363,50%,,+1(72),,+1(50),,,+1(181),,,-3,
20,Xi'an Jiaotong University,wow,3,373,50%,,+2(87),,+1(84),,,+1(142),,,-9,
21,Hong Kong University of Science and Technology,team4,3,401,50%,,+1(21),,+3(103),,,+1(217),,-1,-1,-1
22,South China Normal University,DeDeRong_SCNU_CS,3,410,50%,,+1(49),,+1(86),,,+2(215),,,,
23,Renmin University of China,Go! Pikachu,3,454,70%,,+1(44),,+3(94),,,+4(176),,,-1,
24,University of Electronic Science and Technology of China,UESTC_Florid,3,507,40%,,+1(50),,+1(128),,,+1(289),,,,
25,Hong Kong Polytechnic University,HKPU01,3,522,72%,,+1(70),,+2(106),,,+6(186),-2,,,
26,City University of Hong Kong,Triple W,3,533,78%,,+2(34),,+3(88),,,+6(191),,,,
27,University of Hong Kong,No Response,3,556,57%,,+1(53),,+1(201),,,+3(222),-2,,,
28,Nankai University,normally WA,3,588,66%,,+1(35),,+4(158),,,+2(275),,,,-1
29,Hong Kong Polytechnic University,ReturnVoid,3,617,75%,,+1(98),,+1(50),,,+8(289),,,,
30,The Chinese University of Hong Kong,404 Accepted Not Found,2,141,0%,-1,+1(50),,+1(91),,,-7,,,,
31,Guangdong University of Foreign Studies,Planting vegetables,2,234,33%,,+1(64),,+1(150),,,-3,,,,
32,University of Macau,Newbie,2,264,66%,,+2(93),,+2(91),,,-1,,,,
33,City University of Hong Kong,Balloon Collector,2,452,77%,,+3(107),,+4(205),,,,,,,
34,Southwest University of Science and Technology,Monster of Ying,1,40,0%,,+1(40),,-3,,,-5,,,,
35,University of Macau,YoYo,1,68,0%,,+1(68),,-14,,,,,,-2,
36,The Hang Seng University of Hong Kong,The View is Good,1,101,50%,,-1,,+1(81),,,,,,,
